nome_fundo;tipo_fundo;aplicacao_min;taxa_adm;cot_resgate;liq_resgate;taxa_risco;rent_12_meses;rent_24_meses;rent_36_meses;data_inicio;benchmark;taxa_performance;link
Ashmore EM Equity Advisory FIC F... ;Internacional;500;0.80;"D+1

(Dias Úteis)";"D+5

(Dias Úteis)";29;-7.31;N/D;N/D;28/08/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35602471000154_v40.pdf
Augme 180 FIC FIM CP ;Renda Fixa Pós-Fixado;5000;1.10;"D+179

(Dias Corridos)";"D+1

(Dias Úteis)";8;8.56;13.19;N/D;27/12/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34218678000167_v68.pdf
JP Morgan Global Income Allocati... ;Internacional;5000;0.90;"D+1

(Dias Úteis)";"D+4

(Dias Úteis)";16;11.83;14.18;31.50;09/11/2017;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26112046000196_v113.pdf
XP Long Term Equity FIC FIM ;Renda Variável;10000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";38;-28.10;-21.10;N/D;27/06/2019;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_33755581000120_v117.pdf
JGP Corporate FIC FIRF CP LP - F... ;Renda Fixa Pós-Fixado;20000;0.60;"D+45

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.51;9.53;16.11;14/06/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_23956069000199_v83.pdf
Absolute Vertex Advisory FIC FIM ;Multimercado;500;1.90;"D+44

(Dias Corridos)";"D+1

(Dias Úteis)";15;7.05;11.60;20.96;12/11/2018;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_28947266000165_v105.pdf
Kinea Chronos FIM ;Multimercado;5000;2.00;"D+5

(Dias Úteis)";"D+1

(Dias Úteis)";6;5.11;6.49;16.54;05/06/2015;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_21624757000126_v135.pdf
"XP Investor ESG FIC FIA 
ESG";Renda Variável;5000;2.00;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;-25.14;N/D;N/D;30/12/2020;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37466946000158_v28.pdf
Riza Meyenii 180 Advisory FIC FI... ;Renda Fixa Pós-Fixado;5000;1.18;"D+180

(Dias Corridos)";"D+1

(Dias Úteis)";15;7.64;N/D;N/D;31/03/2020;CDI;10.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_36498149000190_v43.pdf
Oaktree Global Credit FIC FIM IE ;Internacional;500;0.85;"D+9

(Dias Corridos)";"D+3

(Dias Úteis)";16;5.61;9.63;20.60;25/06/2018;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_29853005000149_v53.pdf
"Brasil Capital Sustentabilidade... 
ESG";Renda Variável;500;1.38;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";26;-23.70;N/D;N/D;19/11/2020;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_37895324000145_v23.pdf
XP Corporate Plus FIC FIM CP ;Renda Fixa Pós-Fixado;10000;0.75;"D+45

(Dias Corridos)";"D+1

(Dias Úteis)";26;7.44;9.21;17.35;01/07/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_23999611000190_v176.pdf
Selection Ações Globais FIC FIA... ;Internacional;100;1.00;"D+10

(Dias Corridos)";"D+5

(Dias Úteis)";26;7.71;N/D;N/D;16/11/2020;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_38221605000185_v18.pdf
SPX Nimitz Gripen Advisory FIC F... ;Multimercado;50000;0.70;"D+60

(Dias Corridos)";"D+1

(Dias Úteis)";8;12.63;22.92;31.68;24/06/2016;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24193691000155_v93.pdf
XP Macro Institucional FIC FIM ;Multimercado;5000;1.25;"D+0

(Dias Corridos)";"D+1

(Dias Úteis)";6;2.92;8.95;19.11;18/01/2017;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_26549933000126_v184.pdf
Selection Mult Internacional FIC... ;Internacional;100;0.75;"D+10

(Dias Corridos)";"D+5

(Dias Úteis)";10;6.78;N/D;N/D;29/05/2020;CDI;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_35939801000100_v101.pdf
XP Debentures Incentivadas Crédi... ;Renda Fixa Pré-Fixado/Inflação;5000;1.00;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";10;4.46;12.12;25.09;24/04/2014;IMA_GERAL;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_19657463000159_v195.pdf
Solis Capital Antares Advisory C... ;Renda Fixa Pós-Fixado;500;0.40;"D+59

(Dias Corridos)";"D+1

(Dias Úteis)";6;6.97;11.29;N/D;04/10/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34583819000140_v49.pdf
Selection RF High Yield FIC FIM... ;Renda Fixa Pós-Fixado;100;0.50;"D+90

(Dias Corridos)";"D+2

(Dias Úteis)";26;7.03;12.34;N/D;31/10/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34957512000162_v132.pdf
XP Crédito Estruturado 120 FIC F... ;Renda Fixa Pós-Fixado;10000;1.50;"D+120

(Dias Corridos)";"D+2

(Dias Úteis)";8;6.93;12.26;21.41;28/12/2015;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_22003930000131_v189.pdf
Augme 45 Advisory FIC FIRF CP ;Renda Fixa Pós-Fixado;5000;0.60;"D+44

(Dias Corridos)";"D+1

(Dias Úteis)";6;7.00;9.95;N/D;27/05/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_30568495000110_v85.pdf
ACE Capital Advisory FIC FIM ;Multimercado;500;1.92;"D+30

(Dias Corridos)";"D+1

(Dias Úteis)";10;7.54;15.45;N/D;30/09/2019;CDI;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34774642000160_v73.pdf
Brasil Capital 30 Advisory FIC F... ;Renda Variável;500;1.38;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";42;-23.11;-25.78;N/D;11/12/2019;IBOV;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_34430477000129_v74.pdf
Selection Long Biased FIC FIM ;Renda Variável;100;1.00;"D+10

(Dias Corridos)";"D+3

(Dias Úteis)";31;-13.81;-11.86;15.37;25/08/2016;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_24582422000180_v190.pdf
Absolute Pace Long Biased Adviso... ;Renda Variável;500;1.90;"D+30

(Dias Corridos)";"D+3

(Dias Úteis)";34;5.28;13.66;N/D;21/06/2019;IPCA + Yield IMA-B;20.00;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_32892827000143_v76.pdf
Tork Long Only Institucional FIC... ;Renda Variável;5000;2.93;"D+30

(Dias Corridos)";"D+2

(Dias Úteis)";43;-24.65;-26.00;19.91;31/10/2018;-;-;https://institucional.xpi.com.br/downloads/xpgestao/Caracteristica/Caracteristica_31533145000181_v51.pdf
